"","player_name","player_age","player_pos","team_name","minutes_played","contract_until","league"
"82","Amir Al-Ammari",27,"Central Midfield","Cracovia",270,"30.06.2027","PKO BP Ekstraklasa"
"83","Andreas Skovgaard",27,"Centre-Back","Cracovia",0,"30.06.2026","PKO BP Ekstraklasa"
"84","Andrei Chindriș",25,"Centre-Back","Lechia Gdansk",270,"30.06.2027","PKO BP Ekstraklasa"
"85","Andrej Lukic",30,"Centre-Back","Ruch Chorzow",491,"30.06.2026","Betclic 1 Liga"
"86","Andreja Prokić",35,"Left Winger","Stal Rzeszow",561,"30.06.2025","Betclic 1 Liga"
"87","Andreu Arasa",25,"Centre-Forward","LKS Lodz",515,"30.06.2026","Betclic 1 Liga"
"88","Andrias Edmundsson",23,"Centre-Back","Wisla Plock",464,"30.06.2026","Betclic 1 Liga"
"89","Andriy Dombrovskyi",29,"Defensive Midfield","Bruk-Bet Termalica Nieciecza",652,"30.06.2025","Betclic 1 Liga"
"90","Andrzej Niewulis",35,"Centre-Back","Zaglebie Sosnowiec",630,"30.06.2025","Betclic 2 Liga"
"91","Andrzej Trojnarski",19,"Defensive Midfield","Kotwica Kolobrzeg",65,"30.06.2025","Betclic 1 Liga"
"92","Andrzej Trubeha",26,"Attacking Midfield","Bruk-Bet Termalica Nieciecza",426,"30.06.2025","Betclic 1 Liga"
"93","Andrzej Witan",34,"Goalkeeper","Olimpia Elblag",180,"30.06.2025","Betclic 2 Liga"
"94","Ángel Baena",23,"Right Winger","Wisla Kraków",752,"20.06.2025","Betclic 1 Liga"
"95","Ángel Rodado",27,"Centre-Forward","Wisla Kraków",1200,"30.06.2027","Betclic 1 Liga"
"96","Ante Crnac",20,"Centre-Forward","Raków Częstochowa",450,"30.06.2028","PKO BP Ekstraklasa"
"97","Anthony Ikwuka",17,"Left Midfield","Hutnik Krakow",99,"30.06.2025","Betclic 2 Liga"
"98","Anton Chichkan",29,"Goalkeeper","Wisla Kraków",810,"30.06.2025","Betclic 1 Liga"
"99","Anton Tsarenko",20,"Attacking Midfield","Lechia Gdansk",192,"30.06.2025","PKO BP Ekstraklasa"
"100","Antoni Grzelczak",19,"Right Midfield","Polonia Warsaw",0,"30.06.2026","Betclic 1 Liga"
"101","Antoni Klimek",22,"Left Winger","Widzew Lodz",214,"30.06.2025","PKO BP Ekstraklasa"
"102","Antoni Klukowski",17,"Centre-Forward","Pogon Szczecin",0,"30.06.2026","PKO BP Ekstraklasa"
"103","Antoni Kozubal",20,"Defensive Midfield","Lech Poznan",588,"30.06.2028","PKO BP Ekstraklasa"
"104","Antoni Kulawiak",19,"Centre-Forward","Zaglebie Sosnowiec",0,"30.06.2025","Betclic 2 Liga"
"105","Antoni Mikulko",19,"Goalkeeper","Wieczysta Krakow",630,"30.06.2026","Betclic 2 Liga"
"106","Antoni Mlynarczyk",19,"Right Winger","LKS Lodz II",0,"30.06.2027","Betclic 2 Liga"
"108","Antoni Mlynarczyk",19,"Right Winger","LKS Lodz",415,"30.06.2027","Betclic 1 Liga"
"110","Antonio Majcenic",25,"Left-Back","LKS Lodz",350,"30.06.2026","Betclic 1 Liga"
"111","Antonio Milic",30,"Centre-Back","Lech Poznan",585,"30.06.2026","PKO BP Ekstraklasa"
"112","Ariel Mosor",21,"Centre-Back","Piast Gliwice",405,"30.06.2028","PKO BP Ekstraklasa"
"114","Ariel Mosor",21,"Centre-Back","Raków Częstochowa",0,"30.06.2028","PKO BP Ekstraklasa"
"116","Arkadiusz Jedrych",32,"Centre-Back","GKS Katowice",630,"30.06.2026","PKO BP Ekstraklasa"
"117","Arkadiusz Kasperkiewicz",29,"Centre-Back","Bruk-Bet Termalica Nieciecza",619,"30.06.2025","Betclic 1 Liga"
"118","Arkadiusz Krysik",21,"Midfield","Rekord Bielsko-Biala",0,"-","Betclic 2 Liga"
"119","Arkadiusz Murzacz",18,"Centre-Back","Motor Lublin",0,"-","PKO BP Ekstraklasa"
"120","Arkadiusz Najemski",28,"Centre-Back","Motor Lublin",289,"30.06.2025","PKO BP Ekstraklasa"
"121","Arkadiusz Oslizlo",17,"Defender","GKS Jastrzebie",0,"-","Betclic 2 Liga"
"122","Arkadiusz Pyrka",21,"Right-Back","Piast Gliwice",630,"30.06.2025","PKO BP Ekstraklasa"
"123","Arkadiusz Wozniak",34,"Right-Back","Zaglebie Lubin II",90,"30.06.2025","Betclic 2 Liga"
"125","Arkadiusz Wozniak",34,"Right-Back","Zaglebie Lubin",9,"30.06.2025","PKO BP Ekstraklasa"
"127","Arkadiy Filipchuk",21,"Attacking Midfield","Stal Stalowa Wola",0,"-","Betclic 1 Liga"
"128","Arnau Ortiz",22,"Left Winger","Slask Wroclaw",186,"30.06.2026","PKO BP Ekstraklasa"
"129","Aron Stasiak",25,"Central Midfield","Swit Szczecin",115,"-","Betclic 2 Liga"
"130","Arsen Grosu",23,"Attacking Midfield","Stal Rzeszow",0,"30.06.2024","Betclic 1 Liga"
"131","Artem Motrych",18,"Midfield","Hutnik Krakow",28,"30.06.2027","Betclic 2 Liga"
"132","Artem Putivtsev",36,"Centre-Back","Bruk-Bet Termalica Nieciecza",513,"30.06.2025","Betclic 1 Liga"
"133","Artem Sukhotskyi",31,"Left-Back","Zaglebie Sosnowiec",545,"30.06.2025","Betclic 2 Liga"
"134","Artemijus Tutyskinas",21,"Centre-Back","LKS Lodz",152,"30.06.2026","Betclic 1 Liga"
"135","Arttu Hoskonen",27,"Centre-Back","Cracovia",158,"30.06.2025","PKO BP Ekstraklasa"
"136","Artur Craciun",26,"Centre-Back","Puszcza Niepolomice",569,"30.06.2025","PKO BP Ekstraklasa"
"137","Artur Gaza",17,"Centre-Back","Stal Rzeszow",19,"30.06.2025","Betclic 1 Liga"
"138","Artur Haluch",29,"Goalkeeper","Odra Opole",720,"30.06.2027","Betclic 1 Liga"
"139","Artur Jedrzejczyk",36,"Centre-Back","Legia Warszawa",446,"30.06.2025","PKO BP Ekstraklasa"
"140","Artur Lapies",19,"Right-Back","Olimpia Elblag",0,"-","Betclic 2 Liga"
"141","Artur Pikk",31,"Left-Back","Odra Opole",410,"30.06.2025","Betclic 1 Liga"
"142","Artur Siemaszko",27,"Right Winger","Puszcza Niepolomice",0,"30.06.2025","PKO BP Ekstraklasa"
"143","Aurélien Nguiamba",25,"Defensive Midfield","Jagiellonia Bialystok",351,"30.06.2025","PKO BP Ekstraklasa"
"144","Axel Holewinski",18,"Goalkeeper","Polonia Bytom",585,"30.06.2025","Betclic 2 Liga"
"145","Babacar Diallo",19,"Centre-Back","Miedz Legnica",0,"30.06.2027","Betclic 1 Liga"
"146","Bartlomiej Baranski",17,"Attacking Midfield","Ruch Chorzow",100,"30.06.2025","Betclic 1 Liga"
"147","Bartlomiej Ciepiela",23,"Attacking Midfield","Znicz Pruszkow",498,"30.06.2025","Betclic 1 Liga"
"148","Bartłomiej Eizenchart",23,"Left Winger","Resovia Rzeszow",316,"30.06.2025","Betclic 2 Liga"
"149","Bartlomiej Gradecki",24,"Goalkeeper","Wisla Plock",90,"30.06.2025","Betclic 1 Liga"
"150","Bartlomiej Jelonek",22,"Goalkeeper","Piast Gliwice",0,"30.06.2025","PKO BP Ekstraklasa"
"151","Bartlomiej Kasprzak",31,"Defensive Midfield","Swit Szczecin",615,"30.06.2026","Betclic 2 Liga"
"152","Bartlomiej Kludka",22,"Right-Back","Zaglebie Lubin",43,"30.06.2026","PKO BP Ekstraklasa"
"154","Bartlomiej Kludka",22,"Right-Back","Zaglebie Lubin II",155,"30.06.2026","Betclic 2 Liga"
"156","Bartlomiej Kukulowicz",23,"Right-Back","Stal Stalowa Wola",90,"-","Betclic 1 Liga"
"157","Bartlomiej Mruk",23,"Centre-Back","Olimpia Elblag",519,"30.06.2024","Betclic 2 Liga"
"158","Bartlomiej Pawlowski",31,"Attacking Midfield","Widzew Lodz",0,"30.06.2026","PKO BP Ekstraklasa"
"159","Bartlomiej Poczobut",31,"Attacking Midfield","Polonia Warsaw",548,"30.06.2026","Betclic 1 Liga"
"160","Bartlomiej Putno",27,"Left Winger","KKS 1925 Kalisz",593,"30.06.2025","Betclic 2 Liga"
