"","player_name","player_age","player_pos","team_name","minutes_played","contract_until","league"
"526","Imad Rondic",25,"Centre-Forward","Widzew Lodz",553,"30.06.2025","PKO BP Ekstraklasa"
"527","Ioan-Calin Revenco",24,"Right-Back","Puszcza Niepolomice",296,"30.06.2025","PKO BP Ekstraklasa"
"528","Isaac Amoah",23,"Centre-Back","Pogon Siedlce",180,"30.06.2025","Betclic 1 Liga"
"529","Ivan Brkic",29,"Goalkeeper","Motor Lublin",540,"30.06.2026","PKO BP Ekstraklasa"
"530","Ivan Mihaljevic",23,"Centre-Back","LKS Lodz",338,"30.06.2026","Betclic 1 Liga"
"531","Ivan Tsyupa",31,"Left-Back","Olimpia Grudziadz",540,"-","Betclic 2 Liga"
"532","Ivan Zhelizko",23,"Defensive Midfield","Lechia Gdansk",630,"30.06.2028","PKO BP Ekstraklasa"
"533","Ivi López",30,"Attacking Midfield","Raków Częstochowa",11,"30.06.2026","PKO BP Ekstraklasa"
"534","Iwo Kaczmarski",20,"Defensive Midfield","Miedz Legnica",533,"30.06.2025","Betclic 1 Liga"
"535","Jacek Goralski",31,"Defensive Midfield","Wieczysta Krakow",570,"30.06.2026","Betclic 2 Liga"
"536","Jacek Podgorski",28,"Right Winger","Miedz Legnica",554,"30.06.2027","Betclic 1 Liga"
"537","Jacob Zagrodnik",18,"Goalkeeper","Hutnik Krakow",0,"30.06.2024","Betclic 2 Liga"
"538","Jaka Kolenc",30,"Defensive Midfield","Podbeskidzie Bielsko-Biala",213,"30.06.2025","Betclic 2 Liga"
"539","Jakov Blagaic",24,"Attacking Midfield","Puszcza Niepolomice",234,"30.06.2026","PKO BP Ekstraklasa"
"540","Jakub Adkonis",17,"Defensive Midfield","Legia Warszawa",33,"30.06.2026","PKO BP Ekstraklasa"
"541","Jakub Antczak",20,"Left Midfield","GKS Katowice",38,"30.06.2025","PKO BP Ekstraklasa"
"542","Jakub Apolinarski",25,"Right Midfield","Pogon Grodzisk Mazowiecki",620,"30.06.2025","Betclic 2 Liga"
"543","Jakub Arak",29,"Centre-Forward","GKS Katowice",30,"30.06.2025","PKO BP Ekstraklasa"
"544","Jakub Banach",25,"Centre-Back","Stal Stalowa Wola",683,"30.06.2025","Betclic 1 Liga"
"545","Jakub Bartkowski",32,"Centre-Back","Warta Poznan",709,"30.06.2025","Betclic 1 Liga"
"546","Jakub Bartosz",28,"Right Winger","Odra Opole",531,"30.06.2026","Betclic 1 Liga"
"547","Jakub Bednarczyk",25,"Right-Back","Gornik Leczna",589,"30.06.2025","Betclic 1 Liga"
"548","Jakub Bieronski",21,"Defensive Midfield","GKS Tychy",65,"30.06.2026","Betclic 1 Liga"
"549","Jakub Branecki",20,"Centre-Forward","Chojniczanka Chojnice",293,"30.06.2025","Betclic 2 Liga"
"550","Jakub Budnicki",23,"Centre-Back","GKS Tychy",630,"30.06.2026","Betclic 1 Liga"
"551","Jakub Burek",21,"Goalkeeper","Cracovia",0,"30.06.2025","PKO BP Ekstraklasa"
"552","Jakub Cierpial",20,"Left-Back","Pogon Grodzisk Mazowiecki",38,"30.06.2025","Betclic 2 Liga"
"553","Jakub Czerwinski",33,"Centre-Back","Piast Gliwice",613,"30.06.2026","PKO BP Ekstraklasa"
"554","Jakub Glaz",26,"Right Winger","KKS 1925 Kalisz",546,"30.06.2025","Betclic 2 Liga"
"555","Jakub Golinski",19,"Centre-Back","Chojniczanka Chojnice",541,"30.06.2025","Betclic 2 Liga"
"556","Jakub Gorski",22,"Left Winger","Stal Stalowa Wola",494,"30.06.2026","Betclic 1 Liga"
"557","Jakub Grzejszczak",18,"Left-Back","Widzew Lodz",0,"-","PKO BP Ekstraklasa"
"558","Jakub Hajda",20,"Goalkeeper","Skra Czestochowa",0,"-","Betclic 2 Liga"
"559","Jakub Iskra",22,"Right-Back","GKS Jastrzebie",95,"30.06.2026","Betclic 2 Liga"
"560","Jakub Jezierski",20,"Attacking Midfield","Slask Wroclaw",161,"30.06.2026","PKO BP Ekstraklasa"
"561","Jakub Jugas",32,"Centre-Back","Cracovia",508,"30.06.2026","PKO BP Ekstraklasa"
"562","Jakub Kaczemba",17,"Defensive Midfield","Miedz Legnica",0,"30.06.2027","Betclic 1 Liga"
"563","Jakub Kaduk",20,"Centre-Back","GKS Katowice",0,"30.06.2025","PKO BP Ekstraklasa"
"564","Jakub Kempny",19,"Midfield","Rekord Bielsko-Biala",96,"-","Betclic 2 Liga"
"565","Jakub Kielb",31,"Left Midfield","Warta Poznan",649,"30.06.2025","Betclic 1 Liga"
"566","Jakub Kolan",20,"Right-Back","Zaglebie Lubin II",180,"30.06.2026","Betclic 2 Liga"
"568","Jakub Kolan",20,"Right-Back","Zaglebie Lubin",0,"30.06.2026","PKO BP Ekstraklasa"
"570","Jakub Konstantyn",22,"Left Winger","Korona Kielce",0,"30.06.2025","PKO BP Ekstraklasa"
"571","Jakub Kowalski",36,"Right-Back","Stal Stalowa Wola",398,"30.06.2025","Betclic 1 Liga"
"572","Jakub Krzyzanowski",18,"Left-Back","Wisla Kraków",23,"30.06.2025","Betclic 1 Liga"
"573","Jakub Kuzdra",26,"Right Midfield","Chrobry Glogow",532,"30.06.2026","Betclic 1 Liga"
"574","Jakub Latanski",19,"Midfield","Swit Szczecin",0,"-","Betclic 2 Liga"
"575","Jakub Lemanowicz",25,"Goalkeeper","Polonia Warsaw",0,"30.06.2025","Betclic 1 Liga"
"576","Jakub Letniowski",23,"Defensive Midfield","LKS Lodz II",21,"30.06.2025","Betclic 2 Liga"
"577","Jakub Lewicki",18,"Left-Back","Jagiellonia Bialystok",18,"30.06.2025","PKO BP Ekstraklasa"
"578","Jakub Lis",19,"Central Midfield","Pogon Grodzisk Mazowiecki",456,"30.06.2025","Betclic 2 Liga"
"579","Jakub Lis",22,"Right-Back","Pogon Szczecin",82,"30.06.2026","PKO BP Ekstraklasa"
"580","Jakub Loboda",20,"Midfield","Zaglebie Lubin II",137,"-","Betclic 2 Liga"
"581","Jakub Lukowski",28,"Attacking Midfield","Widzew Lodz",432,"30.06.2026","PKO BP Ekstraklasa"
"582","Jakub Lutostanski",19,"Centre-Forward","Pogon Siedlce",361,"30.06.2026","Betclic 1 Liga"
"583","Jakub Madrzyk",20,"Goalkeeper","Stal Mielec",270,"30.06.2025","PKO BP Ekstraklasa"
"584","Jakub Marcinkowski",20,"Left Midfield","Bruk-Bet Termalica Nieciecza",0,"-","Betclic 1 Liga"
"585","Jakub Myszor",22,"Attacking Midfield","Raków Częstochowa",17,"31.12.2025","PKO BP Ekstraklasa"
"586","Jakub Niedbala",20,"Attacking Midfield","Skra Czestochowa",381,"30.06.2025","Betclic 2 Liga"
"587","Jakub Niewiadomski",22,"Left-Back","Pogon Grodzisk Mazowiecki",73,"30.06.2025","Betclic 2 Liga"
"588","Jakub Nowakowski",22,"Attacking Midfield","Bruk-Bet Termalica Nieciecza",16,"30.06.2025","Betclic 1 Liga"
"589","Jakub Okusami",19,"Centre-Back","Pogon Siedlce",236,"30.06.2026","Betclic 1 Liga"
"590","Jakub Pawlak",16,"Goalkeeper","LKS Lodz II",90,"-","Betclic 2 Liga"
"591","Jakub Pawlowski",21,"Central Midfield","LKS Lodz II",137,"30.06.2025","Betclic 2 Liga"
"592","Jakub Pestka",19,"Centre-Back","Cracovia",0,"30.06.2026","PKO BP Ekstraklasa"
"593","Jakub Piatek",26,"Defensive Midfield","Polonia Warsaw",154,"30.06.2025","Betclic 1 Liga"
"594","Jakub Raciniewski",19,"Goalkeeper","Stal Rzeszow",0,"30.06.2026","Betclic 1 Liga"
"595","Jakub Rajczykowski",19,"Goalkeeper","Wieczysta Krakow",0,"30.06.2025","Betclic 2 Liga"
"596","Jakub Romanik",20,"Midfield","Chojniczanka Chojnice",164,"30.06.2025","Betclic 2 Liga"
"597","Jakub Rozycki",19,"Defensive Midfield","Bruk-Bet Termalica Nieciecza",177,"30.06.2025","Betclic 1 Liga"
"598","Jakub Rybacki",16,"Goalkeeper","Polonia Bytom",0,"-","Betclic 2 Liga"
"599","Jakub Rys",25,"Attacking Midfield","Rekord Bielsko-Biala",197,"-","Betclic 2 Liga"
"600","Jakub Serafin",28,"Defensive Midfield","Puszcza Niepolomice",584,"30.06.2028","PKO BP Ekstraklasa"
"601","Jakub Siga",22,"Right Winger","GKS Jastrzebie",0,"30.06.2026","Betclic 2 Liga"
"602","Jakub Sinior",24,"Defensive Midfield","Pogon Siedlce",609,"30.06.2025","Betclic 1 Liga"
"603","Jakub Snopczynski",19,"Defensive Midfield","Radomiak Radom",0,"30.06.2025","PKO BP Ekstraklasa"
"604","Jakub Staniszewski",19,"Defensive Midfield","Arka Gdynia",280,"30.06.2026","Betclic 1 Liga"
"605","Jakub Staszak",21,"Left-Back","KKS 1925 Kalisz",613,"30.06.2025","Betclic 2 Liga"
"606","Jakub Stec",19,"Defensive Midfield","Skra Czestochowa",430,"30.06.2025","Betclic 2 Liga"
"607","Jakub Stepak",18,"Goalkeeper","Wisla Kraków",0,"30.06.2026","Betclic 1 Liga"
"608","Jakub Svec",24,"Right Winger","Stal Stalowa Wola",75,"30.06.2026","Betclic 1 Liga"
"609","Jakub Sypek",23,"Right Winger","Widzew Lodz",448,"30.06.2025","PKO BP Ekstraklasa"
"610","Jakub Szrek",27,"Left-Back","Odra Opole",630,"30.06.2025","Betclic 1 Liga"
"611","Jakub Szymanski",24,"Goalkeeper","Ruch Chorzow",360,"30.06.2026","Betclic 1 Liga"
"612","Jakub Szymanski",22,"Centre-Back","Wisla Plock",450,"30.06.2025","Betclic 1 Liga"
"613","Jakub Teclaw",25,"Centre-Back","GKS Tychy",531,"30.06.2025","Betclic 1 Liga"
"614","Jakub Tetyk",16,"Goalkeeper","Resovia Rzeszow",630,"30.06.2027","Betclic 2 Liga"
"615","Jakub Trojanowski",23,"Goalkeeper","GKS Jastrzebie",90,"30.06.2025","Betclic 2 Liga"
"616","Jakub Wolosik",20,"Centre-Forward","Wieczysta Krakow",0,"30.06.2025","Betclic 2 Liga"
"617","Jakub Wrabel",28,"Goalkeeper","Miedz Legnica",630,"30.06.2026","Betclic 1 Liga"
"618","Jakub Wrobel",31,"Centre-Forward","Bruk-Bet Termalica Nieciecza",29,"30.06.2025","Betclic 1 Liga"
"619","Jakub Zewlakow",17,"Attacking Midfield","Legia Warszawa",16,"30.06.2027","PKO BP Ekstraklasa"
"620","Jakub Zubrowski",32,"Defensive Midfield","Kotwica Kolobrzeg",0,"30.06.2025","Betclic 1 Liga"
"621","Jakub Zych",22,"Left Midfield","Wisla Pulawy",347,"30.06.2025","Betclic 2 Liga"
"622","Jakub Zywicki",19,"Midfield","Chojniczanka Chojnice",0,"-","Betclic 2 Liga"
"623","James Igbekeme",29,"Central Midfield","Wisla Kraków",63,"30.06.2025","Betclic 1 Liga"
"624","Jan Bieganski",21,"Defensive Midfield","Lechia Gdansk",0,"30.06.2027","PKO BP Ekstraklasa"
"625","Jan Bonikowski",19,"Right Winger","Olimpia Grudziadz",255,"-","Betclic 2 Liga"
"626","Jan Ciucka",21,"Attacking Midfield","Rekord Bielsko-Biala",381,"30.06.2025","Betclic 2 Liga"
"627","Jan Debski",19,"Defensive Midfield","Odra Opole",0,"30.06.2025","Betclic 1 Liga"
"628","Jan Dorozko",18,"Midfield","Zaglebie Lubin II",689,"31.12.2025","Betclic 2 Liga"
"629","Jan Flak",22,"Right-Back","GKS Jastrzebie",661,"30.06.2025","Betclic 2 Liga"
"630","Jan Grzesik",29,"Right-Back","Radomiak Radom",270,"30.06.2025","PKO BP Ekstraklasa"
"631","Jan Jakubczak",20,"Central Midfield","LKS Lodz II",0,"-","Betclic 2 Liga"
"632","Jan Krzywanski",21,"Goalkeeper","Widzew Lodz",0,"30.06.2025","PKO BP Ekstraklasa"
"633","Jan Kuzma",21,"Defensive Midfield","LKS Lodz II",337,"30.06.2025","Betclic 2 Liga"
"634","Jan Labedzki",18,"Central Midfield","LKS Lodz",106,"30.06.2027","Betclic 1 Liga"
"636","Jan Labedzki",18,"Central Midfield","LKS Lodz II",141,"30.06.2027","Betclic 2 Liga"
"638","Jan Leszczynski",17,"Centre-Back","Legia Warszawa",0,"30.06.2026","PKO BP Ekstraklasa"
"639","Jan Majsterek",24,"Centre-Back","Podbeskidzie Bielsko-Biala",164,"30.06.2025","Betclic 2 Liga"
"640","Jan Pirog",18,"Midfield","Olimpia Elblag",0,"-","Betclic 2 Liga"
"641","Jan Szpaderski",26,"Goalkeeper","Wisla Pulawy",720,"30.06.2025","Betclic 2 Liga"
"642","Jan Ziewiec",20,"Centre-Back","GKS Jastrzebie",281,"30.06.2026","Betclic 2 Liga"
"643","Jan Ziolkowski",19,"Centre-Back","Legia Warszawa",434,"30.06.2025","PKO BP Ekstraklasa"
"644","Jani Atanasov",24,"Defensive Midfield","Cracovia",126,"30.06.2026","PKO BP Ekstraklasa"
"645","Janusz Gol",38,"Defensive Midfield","Arka Gdynia",0,"30.06.2025","Betclic 1 Liga"
"646","Jaroslaw Jach",30,"Centre-Back","Zaglebie Lubin II",651,"30.06.2025","Betclic 2 Liga"
"647","Jaroslaw Kubicki",29,"Defensive Midfield","Jagiellonia Bialystok",591,"30.06.2025","PKO BP Ekstraklasa"
"648","Jasmin Buric",37,"Goalkeeper","Zaglebie Lubin",90,"30.06.2025","PKO BP Ekstraklasa"
"649","Jasse Tuominen",28,"Centre-Forward","Bruk-Bet Termalica Nieciecza",0,"30.06.2025","Betclic 1 Liga"
"650","Jean Carlos Silva",28,"Left Midfield","Raków Częstochowa",629,"30.06.2026","PKO BP Ekstraklasa"
"651","Jean Franco Sarmiento",27,"Centre-Forward","Radomiak Radom",1,"31.12.2025","PKO BP Ekstraklasa"
"652","Jean-Pierre Nsame",31,"Centre-Forward","Legia Warszawa",143,"30.06.2025","PKO BP Ekstraklasa"
"653","Jedrzej Goral",20,"Centre-Back","Swit Szczecin",630,"30.06.2025","Betclic 2 Liga"
"654","Jedrzej Grobelny",23,"Goalkeeper","Warta Poznan",720,"30.06.2025","Betclic 1 Liga"
"655","Jedrzej Hanuszczak",16,"Attacking Midfield","Warta Poznan",0,"-","Betclic 1 Liga"
"656","Jedrzej Zajac",20,"Left Winger","LKS Lodz II",0,"30.06.2025","Betclic 2 Liga"
"658","Jedrzej Zajac",20,"Left Winger","LKS Lodz",275,"30.06.2025","Betclic 1 Liga"
"660","Jeremi Osuch",18,"Defender","Zaglebie Lubin II",0,"-","Betclic 2 Liga"
"661","Jerzy Tomal",21,"Right-Back","Hutnik Krakow",19,"30.06.2025","Betclic 2 Liga"
"662","Jesper Jonasson Westermark",31,"Centre-Forward","Wisla Plock",0,"31.12.2026","Betclic 1 Liga"
"663","Jesper Karlström",29,"Defensive Midfield","Lech Poznan",180,"30.06.2026","PKO BP Ekstraklasa"
"664","Jesús Alfaro",33,"Left Winger","Wisla Kraków",49,"30.06.2025","Betclic 1 Liga"
"665","Jesus Diaz",25,"Left Winger","Stal Rzeszow",469,"30.06.2025","Betclic 1 Liga"
"666","Jesús Imaz",33,"Attacking Midfield","Jagiellonia Bialystok",934,"30.06.2025","PKO BP Ekstraklasa"
"667","Jetmir Haliti",27,"Centre-Back","Jagiellonia Bialystok",380,"30.06.2025","PKO BP Ekstraklasa"
"668","Jin-hyun Lee",27,"Attacking Midfield","Puszcza Niepolomice",571,"30.06.2025","PKO BP Ekstraklasa"
"669","Jiri Piroch",29,"Centre-Back","Odra Opole",720,"30.06.2026","Betclic 1 Liga"
"670","Joan Román",31,"Attacking Midfield","Wieczysta Krakow",422,"30.06.2026","Betclic 2 Liga"
"671","João Gamboa",28,"Defensive Midfield","Pogon Szczecin",95,"30.06.2026","PKO BP Ekstraklasa"
"672","João Guilherme",29,"Defensive Midfield","Chojniczanka Chojnice",221,"30.06.2026","Betclic 2 Liga"
"673","João Moutinho",26,"Left-Back","Jagiellonia Bialystok",948,"30.06.2025","PKO BP Ekstraklasa"
"674","João Oliveira",28,"Left Winger","Arka Gdynia",646,"30.06.2025","Betclic 1 Liga"
"675","Joel Pereira",27,"Right-Back","Lech Poznan",630,"30.06.2025","PKO BP Ekstraklasa"
"676","Joel Valencia",29,"Attacking Midfield","Zaglebie Sosnowiec",488,"30.06.2025","Betclic 2 Liga"
"677","Jonatan Braut Brunes",24,"Centre-Forward","Raków Częstochowa",198,"30.06.2025","PKO BP Ekstraklasa"
"678","Jonatan Straus",30,"Left-Back","Swit Szczecin",614,"30.06.2026","Betclic 2 Liga"
"679","Jonathan de Amo",34,"Centre-Back","Gornik Leczna",160,"30.06.2025","Betclic 1 Liga"
"680","Jonathan Júnior",25,"Centre-Forward","Kotwica Kolobrzeg",659,"30.06.2025","Betclic 1 Liga"
"681","Jordan Domínguez",29,"Central Midfield","Odra Opole",178,"30.06.2026","Betclic 1 Liga"
"682","Jordan Majchrzak",19,"Centre-Forward","Legia Warszawa",92,"-","PKO BP Ekstraklasa"
"683","Jorge Alastuey",21,"Central Midfield","LKS Lodz",0,"30.06.2025","Betclic 1 Liga"
"685","Jorge Alastuey",21,"Central Midfield","LKS Lodz II",135,"30.06.2025","Betclic 2 Liga"
"687","Jorge Félix",33,"Left Winger","Piast Gliwice",130,"30.06.2025","PKO BP Ekstraklasa"
"688","Jorge Jiménez",25,"Attacking Midfield","Wisla Plock",543,"30.06.2026","Betclic 1 Liga"
"689","Josema",28,"Centre-Back","Górnik Zabrze",555,"30.06.2026","PKO BP Ekstraklasa"
"690","Joseph Colley",25,"Centre-Back","Wisla Kraków",437,"30.06.2025","Betclic 1 Liga"
"691","Jozef Burta",24,"Goalkeeper","Odra Opole",0,"30.06.2025","Betclic 1 Liga"
"692","Juan Ibiza",29,"Centre-Back","Widzew Lodz",530,"30.06.2025","PKO BP Ekstraklasa"
"693","Juergen Elitim",25,"Defensive Midfield","Legia Warszawa",0,"30.06.2026","PKO BP Ekstraklasa"
"694","Julian Keiblinger",23,"Right-Back","GKS Tychy",0,"30.06.2025","Betclic 1 Liga"
"695","Julius Ertlthaler",27,"Attacking Midfield","GKS Tychy",550,"30.06.2025","Betclic 1 Liga"
"696","Juliusz Letniowski",26,"Attacking Midfield","Miedz Legnica",0,"30.06.2027","Betclic 1 Liga"
"697","Juljan Shehu",25,"Defensive Midfield","Widzew Lodz",97,"30.06.2025","PKO BP Ekstraklasa"
"698","Junior Eyamba",23,"Centre-Forward","Slask Wroclaw",16,"30.06.2026","PKO BP Ekstraklasa"
"699","Jurgen Çelhaka",23,"Defensive Midfield","Legia Warszawa",167,"30.06.2025","PKO BP Ekstraklasa"
"700","Jussuf Mwinyi",21,"Left Midfield","Wisla Pulawy",42,"30.06.2025","Betclic 2 Liga"
"701","Kaan Caliskaner",24,"Centre-Forward","Motor Lublin",322,"30.06.2025","PKO BP Ekstraklasa"
"702","Kacper Bieszczad",21,"Goalkeeper","Zaglebie Lubin II",210,"-","Betclic 2 Liga"
"703","Kacper Buniak",19,"Attacking Midfield","Odra Opole",0,"30.06.2025","Betclic 1 Liga"
"704","Kacper Chelmecki",20,"Centre-Forward","Stal Stalowa Wola",470,"30.06.2025","Betclic 1 Liga"
"705","Kacper Chodyna",25,"Right Midfield","Legia Warszawa",270,"30.06.2028","PKO BP Ekstraklasa"
"706","Kacper Cichon",22,"Defensive Midfield","Olimpia Grudziadz",489,"30.06.2026","Betclic 2 Liga"
"707","Kacper Duda",20,"Defensive Midfield","Wisla Kraków",0,"30.06.2025","Betclic 1 Liga"
"708","Kacper Flisiuk",19,"Right Midfield","Znicz Pruszkow",20,"30.06.2025","Betclic 1 Liga"
"709","Kacper Gach",26,"Left-Back","Podbeskidzie Bielsko-Biala",225,"30.06.2025","Betclic 2 Liga"
"710","Kacper Gorski",20,"Goalkeeper","Olimpia Grudziadz",540,"30.06.2025","Betclic 2 Liga"
"711","Kacper Gutowski",18,"Goalkeeper","Lechia Gdansk",0,"-","PKO BP Ekstraklasa"
"712","Kacper Janiak",23,"Attacking Midfield","KKS 1925 Kalisz",0,"-","Betclic 2 Liga"
"713","Kacper Jarzec",19,"Central Midfield","Olimpia Grudziadz",119,"30.06.2024","Betclic 2 Liga"
"714","Kacper Jozefiak",23,"Centre-Back","Miedz Legnica",0,"30.06.2025","Betclic 1 Liga"
"715","Kacper Jozwicki",25,"Central Midfield","Warta Poznan",90,"30.06.2025","Betclic 1 Liga"
"716","Kacper Kaczorowski",24,"Right-Back","Skra Czestochowa",34,"30.06.2025","Betclic 2 Liga"
"717","Kacper Karasek",22,"Attacking Midfield","Bruk-Bet Termalica Nieciecza",359,"30.06.2025","Betclic 1 Liga"
"718","Kacper Kasprzak",21,"Midfield","Rekord Bielsko-Biala",605,"-","Betclic 2 Liga"
"719","Kacper Kolotylo",22,"Goalkeeper","GKS Tychy",0,"-","Betclic 1 Liga"
"720","Kacper Korczyc",18,"Attacking Midfield","Chojniczanka Chojnice",273,"31.12.2025","Betclic 2 Liga"
"721","Kacper Krzepisz",24,"Goalkeeper","Kotwica Kolobrzeg",90,"30.06.2026","Betclic 1 Liga"
"722","Kacper Laskowski",22,"Right Midfield","Wisla Plock",0,"31.12.2024","Betclic 1 Liga"
"723","Kacper Laszak",19,"Centre-Back","Olimpia Elblag",484,"30.06.2026","Betclic 2 Liga"
"724","Kacper Lepczynski",23,"Centre-Back","Zaglebie Lubin II",567,"30.06.2025","Betclic 2 Liga"
"726","Kacper Lepczynski",23,"Centre-Back","Zaglebie Lubin",0,"30.06.2025","PKO BP Ekstraklasa"
"728","Kacper Los",24,"Centre-Back","Pogon Grodzisk Mazowiecki",630,"30.06.2025","Betclic 2 Liga"
"729","Kacper Lukasiak",20,"Attacking Midfield","Pogon Szczecin",404,"30.06.2025","PKO BP Ekstraklasa"
"730","Kacper Masiak",19,"Right Midfield","GKS Jastrzebie",119,"30.06.2025","Betclic 2 Liga"
"731","Kacper Michalski",24,"Right Midfield","Warta Poznan",474,"30.06.2026","Betclic 1 Liga"
"732","Kacper Murat",18,"Goalkeeper","Wisla Pulawy",0,"30.06.2025","Betclic 2 Liga"
"733","Kacper Napieraj",17,"Midfield","Znicz Pruszkow",0,"-","Betclic 1 Liga"
"734","Kacper Nowak",23,"Right Midfield","Swit Szczecin",110,"31.12.2025","Betclic 2 Liga"
"735","Kacper Noworyta",20,"Centre-Forward","Skra Czestochowa",266,"30.06.2025","Betclic 2 Liga"
"736","Kacper Pasko",20,"Centre-Back","Stal Rzeszow",44,"30.06.2025","Betclic 1 Liga"
"737","Kacper Piatek",23,"Attacking Midfield","Wisla Pulawy",511,"30.06.2025","Betclic 2 Liga"
"738","Kacper Piechota",19,"Goalkeeper","Puszcza Niepolomice",0,"30.06.2025","PKO BP Ekstraklasa"
"739","Kacper Pietrzyk",20,"Centre-Forward","GKS Katowice",0,"30.06.2025","PKO BP Ekstraklasa"
"740","Kacper Plichta",17,"Centre-Forward","Stal Rzeszow",22,"30.06.2025","Betclic 1 Liga"
"741","Kacper Poplawski",18,"Attack","LKS Lodz II",18,"-","Betclic 2 Liga"
"742","Kacper Przybylko",19,"Centre-Back","Warta Poznan",367,"30.06.2025","Betclic 1 Liga"
"743","Kacper Rosa",30,"Goalkeeper","Motor Lublin",0,"30.06.2025","PKO BP Ekstraklasa"
"744","Kacper Rychert",19,"Right Winger","Olimpia Grudziadz",398,"-","Betclic 2 Liga"
"745","Kacper Sezonienko",21,"Centre-Forward","Lechia Gdansk",244,"30.06.2027","PKO BP Ekstraklasa"
"746","Kacper Siuta",19,"Goalkeeper","Zaglebie Sosnowiec",630,"30.06.2027","Betclic 2 Liga"
"747","Kacper Skibicki",22,"Right Midfield","KKS 1925 Kalisz",90,"30.06.2025","Betclic 2 Liga"
"748","Kacper Skora",21,"Left Winger","Arka Gdynia",253,"30.06.2025","Betclic 1 Liga"
"749","Kacper Skrobanski",20,"Centre-Back","Wisla Kraków",0,"30.06.2025","Betclic 1 Liga"
"750","Kacper Smiglewski",19,"Centre-Forward","Cracovia",0,"30.06.2027","PKO BP Ekstraklasa"
"751","Kacper Smolinski",23,"Defensive Midfield","Pogon Szczecin",0,"30.06.2026","PKO BP Ekstraklasa"
"752","Kacper Sommerfeld",20,"Defensive Midfield","Pogon Grodzisk Mazowiecki",599,"30.06.2025","Betclic 2 Liga"
"753","Kacper Spiewak",24,"Centre-Forward","Motor Lublin",0,"30.06.2025","PKO BP Ekstraklasa"
"754","Kacper Stankiewicz",19,"Centre-Back","Pogon Siedlce",0,"-","Betclic 1 Liga"
"755","Kacper Szczudlinski",24,"Centre-Back","Olimpia Elblag",272,"30.06.2025","Betclic 2 Liga"
"756","Kacper Szymanek",19,"Attacking Midfield","Wisla Pulawy",252,"30.06.2025","Betclic 2 Liga"
"757","Kacper Tabis",24,"Right Midfield","Chrobry Glogow",506,"30.06.2026","Betclic 1 Liga"
"758","Kacper Terlecki",19,"Defensive Midfield","Zaglebie Lubin II",630,"30.06.2025","Betclic 2 Liga"
"759","Kacper Tobiasz",21,"Goalkeeper","Legia Warszawa",1035,"30.06.2026","PKO BP Ekstraklasa"
"760","Kacper Trelowski",21,"Goalkeeper","Raków Częstochowa",630,"30.06.2025","PKO BP Ekstraklasa"
"761","Kacper Tulowiecki",34,"Goalkeeper","Olimpia Elblag",540,"-","Betclic 2 Liga"
"762","Kacper Welniak",24,"Attacking Midfield","Motor Lublin",23,"30.06.2026","PKO BP Ekstraklasa"
"763","Kacper Wojdak",25,"Midfield","Swit Szczecin",472,"30.06.2025","Betclic 2 Liga"
"764","Kacper Zabinski",18,"Centre-Forward","Polonia Bytom",0,"30.06.2026","Betclic 2 Liga"
"765","Kacper Zych",22,"Centre-Forward","GKS Jastrzebie",177,"30.06.2026","Betclic 2 Liga"
"766","Kaito Imai",25,"Attacking Midfield","Znicz Pruszkow",250,"30.06.2025","Betclic 1 Liga"
"767","Kajetan Radomski",19,"Defensive Midfield","Widzew Lodz",0,"30.06.2026","PKO BP Ekstraklasa"
"768","Kajetan Szmyt",22,"Attacking Midfield","Zaglebie Lubin",111,"30.06.2027","PKO BP Ekstraklasa"
"770","Kajetan Szmyt",22,"Attacking Midfield","Zaglebie Lubin II",45,"30.06.2027","Betclic 2 Liga"
"772","Kamil Antonik",25,"Left Winger","Miedz Legnica",360,"30.06.2026","Betclic 1 Liga"
"773","Kamil Bednorz",19,"Defender","GKS Jastrzebie",0,"30.06.2026","Betclic 2 Liga"
"774","Kamil Bilinski",36,"Centre-Forward","Zaglebie Sosnowiec",615,"30.06.2025","Betclic 2 Liga"
"775","Kamil Broda",23,"Goalkeeper","Wisla Kraków",390,"30.06.2026","Betclic 1 Liga"
"776","Kamil Cybulski",18,"Left Winger","Widzew Lodz",443,"30.06.2025","PKO BP Ekstraklasa"
"777","Kamil Dankowski",28,"Right-Back","LKS Lodz",630,"30.06.2025","Betclic 1 Liga"
"778","Kamil Drygas",32,"Defensive Midfield","Miedz Legnica",400,"30.06.2026","Betclic 1 Liga"
"779","Kamil Frukacz",18,"Goalkeeper","Skra Czestochowa",0,"-","Betclic 2 Liga"
"780","Kamil Fura",19,"Defender","Zaglebie Lubin II",0,"-","Betclic 2 Liga"
"781","Kamil Glik",36,"Centre-Back","Cracovia",450,"30.06.2025","PKO BP Ekstraklasa"
"782","Kamil Glogowski",20,"Centre-Back","Hutnik Krakow",750,"-","Betclic 2 Liga"
"783","Kamil Gorecki",19,"Centre-Back","Arka Gdynia",250,"30.06.2026","Betclic 1 Liga"
"784","Kamil Grosicki",36,"Left Winger","Pogon Szczecin",460,"30.06.2026","PKO BP Ekstraklasa"
"785","Kamil Grzelak",17,"Central Midfield","Chrobry Glogow",0,"30.06.2026","Betclic 1 Liga"
"786","Kamil Jadach",34,"Attacking Midfield","GKS Jastrzebie",19,"-","Betclic 2 Liga"
